[µs]	Sample
39521	1
39562	0
39573	1
39588	0
39599	1
39615	0
39625	1
39641	0
39651	1
39667	0
39677	1
39693	0
39703	1
39720	0
39730	1
39746	0
39756	1
39771	0
39782	1
39797	0
39809	1
39824	0
40253	1
40270	0
40280	1
40296	0
40306	1
40322	0
40332	1
40349	0
40359	1
40375	0
40385	1
40401	0
40411	1
40426	0
40438	1
40453	0
40464	1
40479	0
40490	1
40505	0
40517	1
40532	0
40543	1
40558	0
40568	1
40584	0
40594	1
40613	0
40621	1
40637	0
40647	1
40663	0
41093	1
41108	0
41119	1
41134	0
41145	1
41161	0
41179	1
41188	0
41197	1
41213	0
41224	1
41239	0
41250	1
41266	0
41276	1
41292	0
41302	1
41318	0
41328	1
41345	0
41355	1
41371	0
41381	1
41397	0
41407	1
41423	0
41433	1
41448	0
41460	1
41475	0
41486	1
41501	0
41931	1
41946	0
41958	1
41973	0
41984	1
41999	0
42010	1
42025	0
42037	1
42052	0
42063	1
42078	0
42089	1
42104	0
42114	1
42130	0
42140	1
42157	0
42167	1
42183	0
42193	1
42209	0
42219	1
42236	0
42246	1
42262	0
42272	1
42288	0
42298	1
42313	0
42325	1
42340	0
42769	1
42786	0
42796	1
42812	0
42822	1
42838	0
42848	1
42865	0
42875	1
42891	0
42901	1
42917	0
42927	1
42942	0
42954	1
42969	0
42980	1
42995	0
43006	1
43021	0
43032	1
43047	0
43059	1
43074	0
43085	1
43100	0
43110	1
43126	0
43136	1
43153	0
43163	1
43179	0
43608	1
43624	0
43634	1
43651	0
43661	1
43677	0
43687	1
43703	0
43713	1
43730	0
43740	1
43756	0
43766	1
43781	0
43800	1
43808	0
43819	1
43834	0
43845	1
43860	0
43870	1
43887	0
43898	1
43912	0
43924	1
43939	0
43950	1
43965	0
43976	1
43991	0
44001	1
44017	0
44447	1
44463	0
44473	1
44488	0
44500	1
44516	0
44526	1
44542	0
44552	1
44567	0
44578	1
44593	0
44605	1
44620	0
44631	1
44646	0
44657	1
44672	0
44684	1
44699	0
44710	1
44725	0
44735	1
44751	0
44761	1
44778	0
44788	1
44804	0
44814	1
44830	0
44840	1
44856	0
45286	1
45302	0
45312	1
45328	0
45338	1
45354	0
45364	1
45381	0
45391	1
45406	0
45417	1
45432	0
45443	1
45458	0
45470	1
45485	0
45496	1
45511	0
45522	1
45537	0
45549	1
45564	0
45574	1
45590	0
45600	1
45616	0
45626	1
45643	0
45653	1
45669	0
45679	1
45695	0
46125	1
46140	0
46151	1
46166	0
46177	1
46192	0
46204	1
46219	0
46229	1
46245	0
46255	1
46271	0
46281	1
46298	0
46308	1
46324	0
46334	1
46350	0
46360	1
46377	0
46387	1
46402	0
46413	1
46428	0
46443	1
46455	0
46466	1
46481	0
46491	1
46507	0
46517	1
46534	0
46963	1
46979	0
46989	1
47004	0
47016	1
47031	0
47042	1
47057	0
47068	1
47083	0
47095	1
47110	0
47121	1
47136	0
47146	1
47162	0
47177	1
47189	0
47199	1
47215	0
47225	1
47241	0
47251	1
47268	0
47278	1
47294	0
47304	1
47319	0
47330	1
47345	0
47356	1
47371	0
47802	1
47818	0
47828	1
47844	0
47855	1
47870	0
47881	1
47897	0
47907	1
47923	0
47933	1
47949	0
47959	1
47974	0
47985	1
48000	0
48012	1
48027	0
48038	1
48053	0
48064	1
48079	0
48091	1
48106	0
48117	1
48132	0
48142	1
48158	0
48168	1
48185	0
48195	1
48211	0
48640	1
48655	0
48667	1
48682	0
48693	1
48708	0
48719	1
48734	0
48746	1
48761	0
48772	1
48787	0
48798	1
48813	0
48825	1
48840	0
48850	1
48866	0
48876	1
48892	0
48902	1
48918	0
48928	1
48945	0
48955	1
48971	0
48981	1
48997	0
49007	1
49022	0
49034	1
49049	0
49479	1
49495	0
49505	1
49521	0
49531	1
49548	0
49558	1
49573	0
49584	1
49599	0
49610	1
49625	0
49637	1
49652	0
49663	1
49678	0
49689	1
49704	0
49716	1
49731	0
49741	1
49757	0
49767	1
49783	0
49793	1
49809	0
49819	1
49836	0
49846	1
49862	0
49872	1
49887	0
50318	1
50333	0
50344	1
50359	0
50371	1
50386	0
50396	1
50413	0
50422	1
50438	0
50449	1
50465	0
50475	1
50491	0
50501	1
50517	0
50527	1
50543	0
50554	1
50569	0
50580	1
50595	0
50606	1
50621	0
50633	1
50648	0
50659	1
50674	0
50684	1
50700	0
50710	1
50727	0
51156	1
