[µs]	Sample
32774	0
32785	1
32800	0
32810	1
32826	0
32836	1
32852	0
32863	1
32879	0
32889	1
32905	0
32915	1
32931	0
32941	1
32958	0
32968	1
32984	0
32994	1
33010	0
33020	1
33035	0
33047	1
33062	0
33073	1
33088	0
33099	1
33114	0
33545	1
33560	0
33570	1
33586	0
33596	1
33613	0
33623	1
33639	0
33649	1
33665	0
33675	1
33691	0
33701	1
33718	0
33728	1
33744	0
33754	1
33770	0
33780	1
33795	0
33807	1
33822	0
33833	1
33848	0
33859	1
33874	0
33885	1
33900	0
33912	1
33927	0
33937	1
33953	0
34549	1
34556	0
34566	1
34582	0
34592	1
34609	0
34619	1
34635	0
34645	1
34661	0
34671	1
34688	0
34698	1
34713	0
34724	1
34739	0
34750	1
34765	0
34776	1
34792	0
36061	1
36076	0
36087	1
36102	0
36112	1
36128	0
36138	1
36155	0
36165	1
36181	0
36191	1
36207	0
36217	1
36234	0
36244	1
36260	0
36270	1
36286	0
36296	1
36311	0
36324	1
36337	0
36349	1
36364	0
36374	1
36390	0
36400	1
36417	0
36427	1
36443	0
36453	1
36469	0
36899	1
36914	0
36925	1
36942	0
36951	1
36967	0
36978	1
36993	0
37004	1
37020	0
37030	1
37045	0
37056	1
37071	0
37083	1
37098	0
37109	1
37124	0
37135	1
37150	0
37160	1
37177	0
37187	1
37203	0
37213	1
37229	0
37239	1
37256	0
37266	1
37282	0
37292	1
37307	0
37738	1
37753	0
37764	1
37779	0
37790	1
37805	0
37817	1
37832	0
37843	1
37858	0
37868	1
37884	0
37894	1
37910	0
37920	1
37937	0
37947	1
37963	0
37973	1
37989	0
37999	1
38016	0
38026	1
38042	0
38052	1
38067	0
38078	1
38093	0
38105	1
38120	0
38131	1
38146	0
38576	1
38592	0
38602	1
38619	0
38629	1
38645	0
38655	1
38670	0
38681	1
38696	0
38707	1
38722	0
38734	1
38749	0
38760	1
38775	0
38786	1
38801	0
38811	1
38828	0
38838	1
38854	0
38864	1
38880	0
38890	1
38907	0
38917	1
38933	0
38943	1
38959	0
38969	1
38985	0
39415	1
39430	0
39441	1
39456	0
39467	1
39482	0
39494	1
39509	0
39520	1
39541	0
39546	1
39561	0
39572	1
39587	0
39599	1
39614	0
39624	1
39640	0
39650	1
39666	0
39676	1
39693	0
39703	1
39719	0
39729	1
39745	0
39755	1
39772	0
39782	1
39797	0
39808	1
39823	0
40253	1
40274	0
40279	1
40349	0
40358	1
40374	0
40385	1
40400	0
40411	1
40426	0
40437	1
40452	0
40463	1
40479	0
40490	1
40505	0
40515	1
40531	0
40541	1
40557	0
40567	1
40584	0
40594	1
40610	0
40620	1
40636	0
40646	1
40663	0
41092	1
41108	0
41118	1
41134	0
41144	1
41161	0
41171	1
41186	0
41197	1
41212	0
41223	1
41238	0
41250	1
41265	0
41276	1
41291	0
41302	1
41317	0
41327	1
41344	0
41354	1
41370	0
41380	1
41396	0
41406	1
41423	0
41433	1
41449	0
41459	1
41475	0
41485	1
41500	0
41930	1
41947	0
41957	1
41973	0
41983	1
41998	0
42009	1
42024	0
42036	1
42051	0
42062	1
42077	0
42088	1
42103	0
42115	1
42130	0
42140	1
42156	0
42166	1
42182	0
42198	1
42208	0
42218	1
42235	0
42245	1
42261	0
42271	1
42287	0
42297	1
42314	0
42324	1
42339	0
42769	1
42784	0
42796	1
42811	0
42822	1
42837	0
42848	1
42863	0
42875	1
42890	0
42900	1
42916	0
42929	1
42942	0
42953	1
42968	0
42979	1
42994	0
43006	1
43021	0
43031	1
43047	0
43057	1
43073	0
43083	1
43100	0
43110	1
43126	0
43136	1
43152	0
43162	1
43179	0
43607	1
43624	0
43634	1
43650	0
43660	1
43676	0
43686	1
43702	0
43712	1
43729	0
43739	1
43755	0
43765	1
43780	0
43791	1
43807	0
43818	1
43833	0
43844	1
43859	0
43870	1
43885	0
43897	1
43912	0
43923	1
43938	0
43948	1
43964	0
43974	1
43991	0
44001	1
44017	0
44447	1
44462	0
44473	1
44488	0
44499	1
44514	0
44526	1
44541	0
44551	1
44567	0
44577	1
44593	0
44603	1
44620	0
44630	1
44646	0
44656	1
44672	0
44682	1
44699	0
44709	1
44725	0
44735	1
44750	0
44761	1
44776	0
44806	1
44808	0
44813	1
44829	0
44840	1
44855	0
45286	1
45301	0
45312	1
45327	0
45338	1
45353	0
45363	1
45379	0
45389	1
45406	0
45416	1
45432	0
45442	1
45458	0
45468	1
45485	0
45495	1
45511	0
45521	1
45537	0
45548	1
45563	0
45573	1
45589	0
45599	1
45616	0
45626	1
45642	0
45652	1
45668	0
45678	1
45694	0
46123	1
46140	0
46150	1
46165	0
46176	1
46192	0
46202	1
46218	0
46229	1
46244	0
46255	1
46270	0
46282	1
46297	0
46308	1
46323	0
46333	1
46349	0
46359	1
46375	0
46386	1
46402	0
46412	1
46428	0
46438	1
46454	0
46464	1
46481	0
46491	1
46506	0
46517	1
46532	0
46962	1
46979	0
46989	1
47004	0
47015	1
47030	0
47041	1
47056	0
47068	1
47083	0
47094	1
47135	0
47146	1
47162	0
47172	1
47188	0
47198	1
47214	0
47224	1
47266	0
47276	1
47293	0
47303	1
47319	0
47329	1
47345	0
47355	1
47372	0
47801	1
47817	0
47827	1
47843	0
47853	1
47870	0
47880	1
47896	0
47906	1
47921	0
47932	1
47947	0
47958	1
47974	0
47985	1
48000	0
48011	1
48026	0
48038	1
48053	0
48063	1
48079	0
48089	1
48105	0
48115	1
48131	0
48141	1
48158	0
48168	1
48184	0
48194	1
48210	0
48639	1
48656	0
48666	1
48682	0
48692	1
48708	0
48718	1
48733	0
48745	1
48760	0
48772	1
48787	0
48797	1
48812	0
48823	1
48838	0
48849	1
48865	0
48876	1
48891	0
48902	1
48917	0
48928	1
48943	0
48955	1
48970	0
48980	1
48996	0
49006	1
49022	0
49032	1
49049	0
49478	1
49493	0
49504	1
49521	0
49531	1
49547	0
49557	1
49572	0
49583	1
49598	0
49610	1
49625	0
49636	1
49651	0
49662	1
49677	0
49688	1
49703	0
49715	1
49730	0
49740	1
49756	0
49766	1
49782	0
49792	1
49809	0
49819	1
49835	0
49845	1
49861	0
49871	1
49888	0
50329	1
50332	0
50342	1
50359	0
50369	1
50386	0
50396	1
50411	0
50422	1
50437	0
50448	1
50463	0
50474	1
50489	0
50501	1
50516	0
50527	1
50542	0
50553	1
50568	0
50578	1
50595	0
50605	1
50621	0
50631	1
50647	0
50657	1
50674	0
50684	1
50700	0
50710	1
50725	0
51155	1
51172	0
51182	1
51197	0
51208	1
51223	0
51234	1
51249	0
51261	1
51276	0
51287	1
51302	0
51313	1
51328	0
51338	1
51355	0
51365	1
51381	0
51391	1
51408	0
51418	1
51433	0
51444	1
51459	0
51471	1
51486	0
51496	1
51512	0
51522	1
51538	0
51548	1
51565	0
51994	1
52010	0
52020	1
52035	0
52047	1
52062	0
52073	1
52088	0
52099	1
52114	0
52126	1
52141	0
52151	1
52168	0
52178	1
52194	0
52204	1
52219	0
52230	1
52245	0
52256	1
52271	0
52283	1
52298	0
52309	1
52324	0
52335	1
52350	0
52362	1
52377	0
52388	1
52403	0
52833	1
52849	0
52859	1
52875	0
52885	1
52900	0
52911	1
52927	0
52938	1
52953	0
52964	1
52979	0
52990	1
53005	0
53017	1
53032	0
53043	1
53058	0
53068	1
53084	0
53094	1
53111	0
53121	1
53137	0
53147	1
53163	0
53173	1
53190	0
53200	1
53216	0
53226	1
53241	0
54510	1
54526	0
54536	1
54552	0
54562	1
54578	0
54588	1
54605	0
54615	1
54631	0
54641	1
54656	0
54667	1
54682	0
54694	1
54709	0
54720	1
54735	0
54746	1
54762	0
54772	1
54787	0
54799	1
54814	0
54825	1
54840	0
54851	1
54866	0
54876	1
54893	0
54903	1
54919	0
55349	1
55367	0
55375	1
55391	0
55401	1
55417	0
55427	1
55443	0
55453	1
55470	0
55480	1
55495	0
55506	1
55521	0
55532	1
55547	0
55559	1
55574	0
55585	1
55600	0
55611	1
55626	0
55638	1
55653	0
55663	1
55679	0
55689	1
55705	0
55715	1
55731	0
55742	1
55758	0
56187	1
56204	0
56214	1
56229	0
56240	1
56255	0
56266	1
56281	0
56292	1
56307	0
56319	1
56334	0
56345	1
56360	0
56370	1
56386	0
56396	1
56413	0
56423	1
56439	0
56449	1
56465	0
56475	1
56492	0
56502	1
56518	0
56528	1
56544	0
56554	1
56569	0
56581	1
56596	0
57026	1
57041	0
57052	1
57067	0
57079	1
57094	0
57105	1
57120	0
57131	1
57146	0
57158	1
57173	0
57183	1
57199	0
57209	1
57225	0
57235	1
57252	0
57262	1
57278	0
57288	1
57304	0
57314	1
57330	0
57340	1
57355	0
57367	1
57382	0
57393	1
57409	0
57420	1
57434	0
57865	1
57880	0
57891	1
57906	0
57916	1
57933	0
57943	1
57959	0
57976	1
57985	0
57996	1
58012	0
58022	1
58037	0
58047	1
58064	0
58074	1
58090	0
58100	1
58116	0
58126	1
58143	0
58153	1
58169	0
58179	1
58195	0
58205	1
58220	0
58232	1
58247	0
58258	1
58273	0
58703	1
58718	0
58729	1
58745	0
58756	1
58771	0
58782	1
58797	0
58809	1
58824	0
58834	1
58850	0
58860	1
58876	0
58886	1
58903	0
58913	1
58929	0
58939	1
58955	0
58965	1
58981	0
58991	1
59006	0
59018	1
59033	0
59044	1
59059	0
59070	1
59085	0
59097	1
59112	0
60380	1
60396	0
60406	1
60423	0
60433	1
60449	0
60459	1
60475	0
60485	1
60500	0
60512	1
60527	0
60538	1
60553	0
60564	1
60579	0
60590	1
60612	0
60616	1
60632	0
60643	1
60658	0
60669	1
60685	0
60694	1
60711	0
60722	1
60737	0
60747	1
60762	0
60774	1
60789	0
61219	1
61235	0
61245	1
61261	0
61271	1
61287	0
61297	1
61314	0
61324	1
61340	0
61353	1
61365	0
61376	1
61393	0
61403	1
61418	0
61429	1
61444	0
61455	1
61470	0
61481	1
61496	0
61508	1
61523	0
61534	1
61549	0
61560	1
61575	0
61587	1
61602	0
